job_title,experience_level,company_size,salary_in_usd
Applied Data Scientist,EN,L,110037.0
Applied Data Scientist,MI,L,105619.0
Applied Data Scientist,SE,L,278500.0
Data Scientist,EN,L,38365.0
Data Scientist,EN,M,50888.25
Data Scientist,EN,S,76385.83333333333
Data Scientist,MI,L,85501.26086956522
Data Scientist,MI,M,101014.04166666667
Data Scientist,MI,S,35956.833333333336
Data Scientist,SE,L,153273.875
Data Scientist,SE,M,155811.0465116279
Data Scientist,SE,S,89487.5
Lead Data Scientist,MI,L,115000.0
Lead Data Scientist,SE,L,40570.0
Lead Data Scientist,SE,S,190000.0
Principal Data Scientist,MI,L,151000.0
Principal Data Scientist,SE,L,227500.0
Principal Data Scientist,SE,M,161565.66666666666
